HS_Code,Chapter,Product_Description,FTA_Agreement,Duty_Reduction_Staging,Effective_Date,ROO_Rule,Benefit_Notes,Expected_Export_Boost_2025
030617,03,"Frozen Vannamei / Black Tiger Shrimp (Raw, not shelled)",India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,Full tariff elimination; covers 99% HS-03 lines; Halal demand high in UAE,200.0
030617,03,Frozen Shrimp (Cooked / Peeled / Headless / Value-Added),India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,Value-added processing qualifies; easy origin cert via MPEDA,150.0
030289,03,Frozen Seabass Fillets (skinless / skin-on),India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,No value-added threshold; Indian farmed seabass ideal,80.0
030462,03,Frozen Tilapia Fillets,India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,Low-cost polyculture from AP/Karnataka; zero rejection risk,40.0
030461,03,Frozen Pangasius Fillets,India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,Fast-growth Indian farms; EU/USA parallel benefits,35.0
030614,03,Frozen / Live Mud Crabs,India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,Live/frozen from Sundarbans; Halal cert boosts,50.0
030624,03,Frozen Giant Freshwater Prawn (Scampi),India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,Japan-parallel premium; Indian freshwater scampi,60.0
030629,03,"Other Frozen Crustaceans (e.g., Squid tubes, Lobster)",India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,Marine catch from Kerala/Gujarat,30.0
030743,03,Frozen Squid (whole / tubes / rings / tentacles),India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,Immediate freezing qualifies; huge volume,25.0
030749,03,Frozen Cuttlefish (whole / cleaned),India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,Gutted/beak-removed; low heavy metals,20.0
030539,03,Dried Shrimp / Dried Fish,India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,Sun-dried from TN/Odisha; moisture <12%,15.0
030616,03,Frozen Rohu / Catla / Mrigal (Indian Major Carp),India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,Polyculture from WB/Bihar; Halal for Middle East,25.0
030636,03,"Other Frozen Fish (e.g., Ribbonfish, Croaker)",India-UAE CEPA,0% immediate (Category A),2022-05-01 00:00:00,WO,Marine from Gujarat; easy WO,10.0
