State,District,Soil Type,Soil pH,Rainfall (mm),Temperature (°C),Fertility,Nearest Seaport,Nearest ICD,Nearest Cargo Airport,Cold Storage (MT),Key Crops / Products,HS Codes,Top Export Products,Export Volume (MT),Top Buyer Countries,Exporters / Processors,AEZ / Cluster,GI Tags,State Incentives,Remarks
Chhattisgarh,Balod,"Red & Yellow, Sandy loam, Black patches",5.5-7.0,1250,25-27,Medium,Visakhapatnam – (~510 km),Raipur ICD – (~180 km),Raipur – (~190 km),28000,"Rice, Pulses, Soybean, Litchi","HS10, HS07, HS12, HS08","Rice, Pulses",68000,"Vietnam, Bangladesh, Nepal",52,,,35% capital subsidy + 100% electricity waiver,Emerging soybean belt
Chhattisgarh,Baloda Bazar,"Black cotton (deep), Red loamy",6.5-8.0,1250,25-27,High,Visakhapatnam – (~480 km),Raipur ICD – (~80 km),Raipur – (~90 km),145000,"Rice, Wheat, Gram, Soybean, Cotton","HS10, HS52, HS12, HS07","Rice, Soybean meal",285000,"Vietnam, Indonesia, Bangladesh",182,Raipur-Durg Rice Cluster,,Additional 10% for food processing units,Part of Chhattisgarh rice bowl
Chhattisgarh,Balrampur-Ramanujganj,"Red & Yellow, Lateritic, Gravelly",5.0-6.5,1400,24-26,Low-Medium,Paradip – (~580 km),Bilaspur ICD – (~220 km),Raipur – (~380 km),12000,"Pulses, Millets, Niger seed, Litchi","HS07, HS10, HS12, HS08",Minor forest produce & pulses,8500,"Nepal, Bangladesh",22,,,40% subsidy for tribal districts,Surguja plateau
Chhattisgarh,Bastar,"Red sandy, Lateritic, Gravelly",5.5-6.6,1550,24-26,Low,Visakhapatnam – (~420 km),,Raipur – (~300 km),9000,"Rice, Millets, Cashew, Coffee","HS10, HS08, HS09","Coffee, Minor forest produce",2200,"Switzerland, Germany",18,Bastar Herbal Cluster,"Bastar Dhokra, Bastar Wooden Craft",50% subsidy in Bastar region,India’s first organic coffee trials
Chhattisgarh,Bemetara,"Black cotton, Mixed red-black",6.5-7.5,1200,25-27,High,Visakhapatnam – (~520 km),Raipur ICD – (~90 km),Raipur – (~100 km),85000,"Rice, Pulses, Wheat, Gram","HS10, HS07",Rice,165000,"Vietnam, Bangladesh",98,Raipur-Durg Rice Cluster,,100% SGST reimbursement for 7 years,High milk cooperative density
Chhattisgarh,Bijapur,"Red sandy, Lateritic, Gravelly",5.5-6.6,1650,24-26,Very Low,Visakhapatnam – (~480 km),,Raipur – (~420 km),4500,"Millets, Pulses, Coarse cereals","HS10, HS07",Negligible,<1000,–,8,,,Special tribal package,High forest cover
Chhattisgarh,Bilaspur,"Black cotton, Alluvial, Red loamy",6.0-7.5,1300,25-27,High,Paradip – (~480 km),Bilaspur ICD – (~15 km),Raipur – (~120 km),165000,"Rice, Pulses, Rose, Soybean","HS10, HS06, HS12","Rice, Rose cut flowers",320000,"Iran, Vietnam, UAE",215,Raipur-Durg Rice Cluster,,15% extra subsidy for women entrepreneurs,Largest rose cluster in state
Chhattisgarh,Dantewada (Dakshin Bastar),"Red sandy & lateritic, Gravelly",5.5-6.6,1500,24-26,Low,Visakhapatnam – (~460 km),,Raipur – (~380 km),6000,"Millets, Coffee, Cashew","HS09, HS08",Coffee (pilot),1800,"Italy, USA",12,Bastar Herbal Cluster,Bastar Iron Craft,50% subsidy + land at ₹1,Coffee expansion
Chhattisgarh,Dhamtari,"Mixed red-black, Alluvial, Sandy loam",6.0-7.5,1300,25-27,High,Visakhapatnam – (~490 km),Raipur ICD – (~80 km),Raipur – (~85 km),92000,"Rice, Maize, Pulses","HS10, HS07",Rice,195000,"Bangladesh, Nepal",112,Raipur-Durg Rice Cluster,,–,Major rice milling hub
Chhattisgarh,Durg,"Deep black cotton, Clayey",6.5-7.8,1150,25-27,Very High,Visakhapatnam – (~530 km),Bhilai ICD – (~25 km),Raipur – (~40 km),185000,"Rice, Soybean, Cotton, Poultry","HS10, HS12, HS52, HS02","Rice, Soybean meal",410000,"Vietnam, Indonesia",268,Raipur-Durg Rice Cluster,,100% electricity duty exemption,Highest milk & poultry production
Chhattisgarh,Gariaband,"Red & Yellow, Lateritic",5.5-7.0,1350,25-27,Medium,Paradip – (~520 km),Raipur ICD – (~110 km),Raipur – (~120 km),22000,"Rice, Pulses, Mango","HS10, HS08",Rice,72000,Nepal,44,,,–,"Forest-rich, emerging mango"
Chhattisgarh,Gaurela-Pendra-Marwahi,"Mixed red-black, Lateritic",5.5-7.0,1500,24-26,Medium,Paradip – (~420 km),Bilaspur ICD – (~110 km),Raipur – (~220 km),18000,"Pulses, Millets, Litchi","HS07, HS08",Pulses,15000,Nepal,28,,,–,Newest district
Chhattisgarh,Janjgir-Champa,"Deep black cotton, Clayey, Alluvial",6.5-8.0,1200,25-27,Very High,Paradip – (~450 km),Champa Railhead – (~10 km),Raipur – (~160 km),225000,"Rice, Wheat, Gram","HS10, HS07",Rice,580000,"Iran, Saudi Arabia, Vietnam",342,Raipur-Durg Rice Cluster,,Called “Rice Bowl of Chhattisgarh”,Highest rice productivity in India
Chhattisgarh,Jashpur,"Red & Yellow, Lateritic",5.5-6.5,1550,23-25,Medium,Paradip – (~480 km),,Raipur – (~380 km),15000,"Rice, Pulses, Litchi, Tea (trial)","HS10, HS08, HS09",Minor,9000,Nepal,25,,,Cold-climate subsidy,Suitable for tea & temperate fruits
Chhattisgarh,Kabirdham (Kawardha),"Mixed red-black, Loamy",6.0-7.5,1250,25-27,Medium-High,Visakhapatnam – (~550 km),Raipur ICD – (~130 km),Raipur – (~140 km),68000,"Rice, Pulses, Oilseeds","HS10, HS07",Rice,125000,Bangladesh,78,,,–,Strong FPO network
Chhattisgarh,Kanker (Uttar Bastar),"Red sandy, Lateritic",5.5-6.6,1500,24-26,Low,Visakhapatnam – (~400 km),,Raipur – (~260 km),12000,"Rice, Millets, Coffee","HS10, HS09",Coffee,3500,Germany,19,Bastar Herbal Cluster,Kanker Terracotta,Coffee plantation expanding,
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,"Black cotton, Mixed red-black",6.5-7.5,1200,25-27,High,Visakhapatnam – (~540 km),Rajnandgaon ICD – (~60 km),Raipur – (~100 km),75000,"Rice, Pulses, Wheat","HS10, HS07",Rice,145000,"Nepal, Bangladesh",88,Raipur-Durg Rice Cluster,,–,New fertile district
Chhattisgarh,Kondagaon,Red sandy & lateritic,5.5-6.6,1600,24-26,Low,Visakhapatnam – (~410 km),,Raipur – (~280 km),8000,"Millets, Coffee, Cashew","HS09, HS08",Coffee,2800,Italy,15,Bastar Herbal Cluster,Kondagaon Terracotta,Tribal handicraft + coffee,
Chhattisgarh,Korba,"Black cotton, Red loamy",6.0-7.5,1400,25-27,High,Paradip – (~420 km),Korba Railhead,Raipur – (~220 km),95000,"Rice, Pulses, Rose","HS10, HS06","Rice, Cut flowers",185000,"UAE, Netherlands",118,,,–,Rose cultivation growing
Chhattisgarh,Korea (Baikunthpur),"Red & Yellow, Lateritic",5.5-7.0,1400,24-26,Medium,Paradip – (~460 km),Bilaspur ICD – (~180 km),Raipur – (~300 km),20000,"Pulses, Millets, Spices","HS07, HS09","Turmeric, Ginger",12000,Nepal,32,,,–,Hill spices
Chhattisgarh,Mahasamund,"Mixed red-black, Black cotton west",6.0-7.5,1300,25-27,High,Visakhapatnam – (~490 km),Raipur ICD – (~60 km),Raipur – (~65 km),135000,"Rice, Watermelon, Pulses","HS10, HS07",Rice,265000,"Bangladesh, Vietnam",165,Raipur-Durg Rice Cluster,,Famous for watermelon,
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,"Red & Yellow, Lateritic",5.5-6.5,1500,24-26,Medium-Low,Paradip – (~500 km),,Raipur – (~340 km),10000,"Millets, Cashew, Tea","HS08, HS09",Minor,4000,–,18,,,–,Hilly terrain
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,Red sandy & lateritic,5.5-6.6,1400,24-26,Low,Visakhapatnam – (~450 km),,Raipur – (~320 km),6000,"Millets, Pulses","HS10, HS07",Negligible,<2000,–,10,,,Tribal package,–
Chhattisgarh,Mungeli,"Deep black cotton, Clayey",6.5-7.5,1250,25-27,Very High,Paradip – (~480 km),Bilaspur ICD – (~60 km),Raipur – (~110 km),155000,"Rice, Gram, Wheat","HS10, HS07",Rice,345000,"Iran, Vietnam",198,Raipur-Durg Rice Cluster,,–,Highest gram yield
Chhattisgarh,Narayanpur,"Red sandy, Lateritic",5.5-6.6,1650,24-26,Very Low,Visakhapatnam – (~430 km),,Raipur – (~340 km),5000,"Millets, Coffee",HS09,Coffee,1500,USA,9,Bastar Herbal Cluster,,–,Coffee pilot
Chhattisgarh,Raigarh,"Black cotton, Red loamy",6.0-7.5,1400,25-27,High,Paradip – (~380 km),Raigarh Railhead,Raipur – (~240 km),175000,"Rice, Tussar silk, Pulses","HS10, HS50, HS07","Rice, Tussar yarn",295000,"Bangladesh, Italy",225,,Kosa Silk of Chhattisgarh,Tussar silk hub,
Chhattisgarh,Raipur,"Black cotton medium-deep, Alluvial",6.0-7.5,1350,25-27,High,Visakhapatnam – (~520 km),Raipur ICD – (~15 km),Raipur – (~15 km),285000,"Rice, Soybean, Vegetables, Flowers","HS10, HS12, HS06","Rice, Soybean, Cut flowers",520000,"Vietnam, UAE, Netherlands",425,Raipur-Durg Rice Cluster,,Capital region – best incentives,State’s largest export hub
Chhattisgarh,Rajnandgaon,"Mixed red-black, Black cotton south",6.0-7.5,1200,25-27,High,Visakhapatnam – (~540 km),Rajnandgaon ICD – (~15 km),Raipur – (~80 km),125000,"Rice, Pulses, Soybean","HS10, HS12",Rice,285000,Bangladesh,178,Raipur-Durg Rice Cluster,,–,Strong rice + dairy
Chhattisgarh,Sakti,"Black cotton, Clayey",6.5-7.5,1250,25-27,Very High,Paradip – (~460 km),Champa – (~25 km),Raipur – (~180 km),165000,"Rice, Gram","HS10, HS07",Rice,310000,Vietnam,165,Raipur-Durg Rice Cluster,,–,New fertile district
Chhattisgarh,Sarangarh-Bilaigarh,"Black cotton, Mixed red-black",6.5-7.5,1350,25-27,High,Paradip – (~420 km),Raigarh – (~80 km),Raipur – (~220 km),98000,"Rice, Oilseeds","HS10, HS12",Rice,185000,Bangladesh,112,,,–,Plain fertile
Chhattisgarh,Sarguja (Ambikapur),"Red & Yellow, Lateritic",5.5-6.5,1300,23-25,Medium,Paradip – (~520 km),Ambikapur Railhead,Raipur – (~360 km),35000,"Pulses, Millets, Litchi","HS07, HS08",Pulses,28000,Nepal,58,,,Cold region subsidy,Litchi cluster
Chhattisgarh,Sukma,"Red sandy & lateritic, Gravelly",5.5-6.6,1700,24-26,Very Low,Visakhapatnam – (~470 km),,Raipur – (~420 km),4000,"Millets, Coffee",HS09,Coffee,1200,USA,7,Bastar Herbal Cluster,,Tribal package,Coffee pilot ongoing
